userName,content,score,at,appVersion
Yuga Edit,akun gopay saya di blok,1,2022-01-21 10:52:12,4.9.3
ff burik,Lambat sekali sekarang ini bosssku apk gojek gk kaya dulu,3,2021-11-30 15:40:38,4.9.3
Anisa Suci Rahmayuliani,Kenapa sih dari kemarin sy buka aplikasi gojek malah keluar sendiri terus Saya kasih bintang 2 dulu kalo sudah normal sy kasih bintang 7,4,2021-11-29 22:58:12,4.9.3
naoki yakuza,Baru download gojek dan hape baru trus ditop u gopay transaksi dialfamart transaksi bloked transaksilaporan di pusat bantuan gak jelas yang ditanyakan apa jawaban lainlama lama gojek dikelola Tokopedia udah nyimpangapa gojek anak bangsa seperti dulu apa punya Tokopedia,1,2022-09-03 15:21:17,4.9.3
Trio Sugianto,Mantap,5,2022-01-15 10:05:27,4.9.3
Arlan Ramlan,Bagus,4,2022-02-01 05:50:40,4.9.3
Slamet Hariyanto,Coba dulu,2,2021-12-10 22:40:45,4.9.3
Hasan Thio,Ok,5,2022-02-01 03:07:45,4.9.3
RAFI BADZLIN,Gimana ini kak pin saya salah terus padahal udah di ubah masih salah,1,2022-12-17 08:56:52,4.9.3
mariyadi qc,Biar aman kamu tidak bisa pakai gojek Jadi saya uninstal biar aman,1,2022-02-09 11:27:38,4.9.3
Noob Gaming,Kumpulan driver sampah,1,2023-08-23 22:38:31,4.9.3
Muhammad irgi Syahputra,Makin lama gojek makin ngga jelas susah bgt dapet driver buat gofood ongkirnya juga mahal bgt Mohon diperbaiki,1,2022-05-08 13:00:27,4.9.3
Mama Alda,Ok mantap,5,2021-11-14 07:16:11,4.9.3
Neng Reni,Verry Good,5,2022-09-14 04:29:27,4.9.3
Rafasya Abirahma,Aplikasi asuuu  makin lama main gx jelas  Ais hrs aplikasi ini lgi  Mending pake aplikasi lain lebih akurat,1,2022-05-14 20:17:47,4.9.3
Ferdianto Adi,Misi dari gojek jago gak jelas syarat penyelesaiannya padahal udah jelas selesaikan misi dengan membeli voucher gpc 50k tapi masih gak dianggap belum selesai ,1,2022-01-16 08:09:53,4.9.3
Neng Shanty Febrianty,Untuk sekarang aplikasi nya good job dan banyakin lagih yah promo nya ,5,2021-12-23 12:57:32,4.9.3
Ardhie Lung,Mantap,5,2022-03-31 13:52:25,4.9.3
Moh hutama Yudha,Pelayanannya bagus,5,2022-07-04 12:09:29,4.9.3
Ahmad Shaleh,Gak jelas,1,2022-07-06 01:45:21,4.9.3
Renny Lomboan,Baik dan bagus,3,2021-12-12 11:43:08,4.9.3
Hanifa Nabila L,Sekarang go food ngga pernah ada promo ongkirnya makin mahal aja,3,2024-01-21 08:33:28,4.9.3
Meta Diana,Gojek akhir2 ini ngeselin driverny suka cancel seenakny,3,2022-01-13 03:41:23,4.9.3
Wijayanto Feri,Bintang 1  ngikut yg lain hhhh,3,2022-03-10 15:39:18,4.9.3
exo budian,Ok,5,2021-12-14 11:20:02,4.9.3
Subangga Anugrah A,Awesome Fun,5,2022-07-07 15:43:06,4.9.3
Natsyaa Phalosa,Bagus bgt sumpahh wajib download,5,2021-11-16 07:56:16,4.9.3
muhammad radika,Nice,5,2022-05-06 14:53:11,4.9.3
Bernard Aditya9999,Kebanyakan pembaruan,1,2023-12-29 11:27:37,4.9.3
Be art,setelah mluncur aplikasi shopeefood gofood jadi agak ribetsemakin mahal banyak biaya tambahannyaapakah ini salah satu strategi marketing dari gojek biiar kita kita order via shopeefood ya,3,2022-03-07 15:26:14,4.9.3
Weli Nug,Oke,5,2021-11-16 12:04:59,4.9.3
Syarifudin,Good Bintang 5,5,2023-04-19 02:41:27,4.9.3
Michael Antonius,Lokasi harus cepat diupdate,4,2021-11-14 04:45:12,4.9.3
jhony tampubolon,Gojek oke,5,2021-12-02 03:12:31,4.9.3
Clara Cellicia,Payah jarang ada voucher semenjak bukan pak nadiem lagi,1,2022-03-18 12:21:29,4.9.3
Aulia Edho,Bagus,4,2022-05-15 14:16:26,4.9.3
Tukang Bangunan,Bagus,5,2022-10-25 01:37:40,4.9.3
Loucans Syah,Ok,5,2022-01-23 06:03:06,4.9.3
virginia maria wena,Terus tingkatkan layanan gojek banyakin promonya banyakin cashback nya,5,2022-06-06 14:58:55,4.9.3
rekha ratnasari,Bagus,5,2022-06-05 15:19:36,4.9.3
Andika Anjaraditya,Banyak maling dari driver gosend kurir sialan cuma nitip paket HP seharga 17 juta aja dibawa kabur udah komplain ke cs dijawab gak tau siapa identitas kurir aneh banget lu punya platform dan ini udh 2 hari belum ada respon lagi balikin duit gua dan lebih selektif utk menerima calon driver jangan calon maling diterima,1,2022-01-20 12:30:07,4.9.3
