university,tiktok_account,followers,video_caption,likes,video_comments_count,shares,upload_date,comment_text
Universitas Indonesia,@ui_official,1250000,Keseruan open house UI! Siapa yang kemarin datang? 😍🔥,5973,5,995,2025-01-01,semoga tahun ini lulus UI aamiin 🤲
Universitas Indonesia,@ui_official,1250000,Keseruan open house UI! Siapa yang kemarin datang? 😍🔥,5973,5,995,2025-01-01,kok seru banget yaa 😭
Universitas Indonesia,@ui_official,1250000,Keseruan open house UI! Siapa yang kemarin datang? 😍🔥,5973,5,995,2025-01-01,keren banget sih videonya 😍🔥
Universitas Indonesia,@ui_official,1250000,Keseruan open house UI! Siapa yang kemarin datang? 😍🔥,5973,5,995,2025-01-01,videonya cakep bgt kak 🙌
Universitas Indonesia,@ui_official,1250000,Keseruan open house UI! Siapa yang kemarin datang? 😍🔥,5973,5,995,2025-01-01,followback dong kak 😅
Universitas Indonesia,@ui_official,1250000,Jelajah kampus UI bareng kami! 🏫✨,11969,5,547,2025-01-02,videonya cakep bgt kak 🙌
Universitas Indonesia,@ui_official,1250000,Jelajah kampus UI bareng kami! 🏫✨,11969,5,547,2025-01-02,gw jadi makin pengen masuk UI wkwkwk
Universitas Indonesia,@ui_official,1250000,Jelajah kampus UI bareng kami! 🏫✨,11969,5,547,2025-01-02,love it! ❤️
Universitas Indonesia,@ui_official,1250000,Jelajah kampus UI bareng kami! 🏫✨,11969,5,547,2025-01-02,semoga tahun ini lulus UI aamiin 🤲
Universitas Indonesia,@ui_official,1250000,Jelajah kampus UI bareng kami! 🏫✨,11969,5,547,2025-01-02,keren2 bgt kegiatannya 😆
Universitas Indonesia,@ui_official,1250000,Kegiatan seru mahasiswa UI di akhir pekan! 😆,12386,5,340,2025-01-03,semoga tahun ini lulus UI aamiin 🤲
Universitas Indonesia,@ui_official,1250000,Kegiatan seru mahasiswa UI di akhir pekan! 😆,12386,5,340,2025-01-03,semoga tahun ini lulus UI aamiin 🤲
